race_id,horse_name,snapshot_label,odds,favorite_rank,available_at,bet_time,race_start_at,captured_at,plain_odds_role,plain_odds_ambiguous,available_at_ts,bet_time_ts,race_start_ts,available_at_bet_time,final_market_odds,post_market_info,closing_odds_contamination
202402010708,アルデドゥオーモ,ambiguous,9.0,,,,,,,True,,,,False,False,True,False
202402010709,ビッグパレード,ambiguous,41.8,,,,,,,True,,,,False,False,True,False
202402010710,フラミニア,ambiguous,6.6,,,,,,,True,,,,False,False,True,False
202402010801,シンゼンマルノスケ,ambiguous,40.3,,,,,,,True,,,,False,False,True,False
202402010804,ゴールデンルーキー,ambiguous,30.5,,,,,,,True,,,,False,False,True,False
202402010806,リュラグリーン,ambiguous,5.7,,,,,,,True,,,,False,False,True,False
202402010809,タロントゥーズ,ambiguous,32.8,,,,,,,True,,,,False,False,True,False
202402010812,サザンレイク,ambiguous,13.8,,,,,,,True,,,,False,False,True,False
202402010901,ディラードテソーロ,ambiguous,20.9,,,,,,,True,,,,False,False,True,False
202402010903,ルージュピルエット,ambiguous,8.7,,,,,,,True,,,,False,False,True,False
202402010904,ワイワイサンデー,ambiguous,18.0,,,,,,,True,,,,False,False,True,False
202402010906,マイネルガンナー,ambiguous,35.9,,,,,,,True,,,,False,False,True,False
202402010907,ステラシティ,ambiguous,23.7,,,,,,,True,,,,False,False,True,False
202402010908,ポリクシニーズ,ambiguous,34.3,,,,,,,True,,,,False,False,True,False
202402010911,サンテックス,ambiguous,4.2,,,,,,,True,,,,False,False,True,False
202402010912,ハピアーザンエバー,ambiguous,16.5,,,,,,,True,,,,False,False,True,False
202402011001,サラサエンペラー,ambiguous,15.5,,,,,,,True,,,,False,False,True,False
202402011002,ココボロ,ambiguous,21.2,,,,,,,True,,,,False,False,True,False
202402011003,ニシノサイエン,ambiguous,42.9,,,,,,,True,,,,False,False,True,False
202402011007,イッツオンリーユー,ambiguous,18.3,,,,,,,True,,,,False,False,True,False
202402011010,ノーブルクライ,ambiguous,29.1,,,,,,,True,,,,False,False,True,False
202402011101,サッカレッロ,ambiguous,10.6,,,,,,,True,,,,False,False,True,False
202402011103,サニイアール,ambiguous,13.2,,,,,,,True,,,,False,False,True,False
202402011106,ウインアルドーレ,ambiguous,8.5,,,,,,,True,,,,False,False,True,False
202402011109,アースイオス,ambiguous,28.7,,,,,,,True,,,,False,False,True,False
202402011111,エンドレスサマー,ambiguous,6.2,,,,,,,True,,,,False,False,True,False
202402011112,ビッグパレード,ambiguous,4.4,,,,,,,True,,,,False,False,True,False
202402011201,ウインラテアート,ambiguous,40.5,,,,,,,True,,,,False,False,True,False
202402011202,バスティオン,ambiguous,12.9,,,,,,,True,,,,False,False,True,False
202402011205,ドーバーブライト,ambiguous,17.6,,,,,,,True,,,,False,False,True,False
202402011206,ミヤビエクセレント,ambiguous,18.3,,,,,,,True,,,,False,False,True,False
202402011207,サウンドアレグリア,ambiguous,8.8,,,,,,,True,,,,False,False,True,False
202402011211,サヴォーナ,ambiguous,4.5,,,,,,,True,,,,False,False,True,False
202403010102,ロマンスライト,ambiguous,55.7,,,,,,,True,,,,False,False,True,False
202403010104,ジロー,ambiguous,10.3,,,,,,,True,,,,False,False,True,False
202403010108,ザアトム,ambiguous,6.9,,,,,,,True,,,,False,False,True,False
202403010109,オールデュスヴラン,ambiguous,14.0,,,,,,,True,,,,False,False,True,False
